code,name,activity,days,start_time,end_time,room,section,teacher
"101201","مواد سنية (1)","نظري","الاثنين","8:00 AM","9:00 AM","6120","1","د. صفوح البني"
"101201","مواد سنية (1)","عملي","السبت","8:00 AM","10:00 AM","مخبر3","1","ه.ت"
"101201","مواد سنية (1)","نظري","الاثنين","9:00 AM","10:00 AM","6120","2","د. صفوح البني"
"101201","مواد سنية (1)","عملي","السبت","10:00 AM","12:00 PM","مخبر3","2","ه.ت"
"101201","مواد سنية (1)","عملي","السبت","12:00 PM","2:00 PM","مخبر3","3","ه.ت"
"101201","مواد سنية (1)","عملي","السبت","2:00 PM","4:00 PM","مخبر3","4","ه.ت"
"101202","مواد سنية (2)","عملي","السبت","8:00 AM","10:00 AM","مخبر4","1","ه.ت"
"101202","مواد سنية (2)","نظري","الاثنين","8:00 AM","9:00 AM","6124","1","د. ثرى العباس"
"101202","مواد سنية (2)","نظري","الاثنين","9:00 AM","10:00 AM","6124","2","د. ثرى العباس"
"101202","مواد سنية (2)","عملي","السبت","10:00 AM","12:00 PM","مخبر4","2","ه.ت"
"101202","مواد سنية (2)","عملي","السبت","12:00 PM","2:00 PM","مخبر4","3","ه.ت"
"101202","مواد سنية (2)","عملي","السبت","2:00 PM","4:00 PM","مخبر4","4","ه.ت"
"101221","طب الأسنان الوقائي","نظري","الاثنين","12:00 PM","1:00 PM","6128","1","د. نغم خوري"
"101221","طب الأسنان الوقائي","عملي","الأحد","8:00 AM","10:00 AM","مخبر7","1","ه.ت"
"101221","طب الأسنان الوقائي","عملي","الأحد","10:00 AM","12:00 PM","مخبر7","2","ه.ت"
"101221","طب الأسنان الوقائي","نظري","الاثنين","1:00 PM","2:00 PM","6128","2","د. نغم خوري"
"101221","طب الأسنان الوقائي","عملي","الثلاثاء","12:00 PM","2:00 PM","مخبر7","3","ه.ت"
"101221","طب الأسنان الوقائي","عملي","الثلاثاء","2:00 PM","4:00 PM","مخبر7","4","ه.ت"
"101231","علم الأشعة السنية","نظري","السبت","12:00 PM","1:00 PM","6121","1","د. محمد يحيى سالم ركاب"
"101231","علم الأشعة السنية","عملي","الاثنين","8:00 AM","10:00 AM","مخبر7","1","ه.ت"
"101231","علم الأشعة السنية","عملي","الاثنين","10:00 AM","12:00 PM","مخبر7","2","ه.ت"
